Identificacion;Sucursal;Ciudad;Tipo de cliente;Genero;Categoria;Precio unitario;Cantidad;Impuesto 5%;Total;Fecha;Hora;Metodo de pago;cogs;Porcentaje de margen bruto;Ingresos brutos;Clasificacion
189-17-4241;A;Yangon;Normal;Femenino;Accesorios de moda;87.67;2;8.77;184.11;10/03/2019;12:17;Tarjeta de crédito;175.34;4.76;8.77;7.7
145-94-9061;B;Mandalay;Normal;Femenino;Comida y bebidas;88.36;5;22.09;463.89;25/01/2019;19:48;Dinero en efectivo;441.8;4.76;22.09;9.6
848-62-7243;A;Yangon;Normal;Masculino;Salud y belleza;24.89;9;11.2;235.21;15/03/2019;15:36;Dinero en efectivo;224.01;4.76;11.2;7.4
871-79-8483;B;Mandalay;Normal;Masculino;Accesorios de moda;94.13;5;23.53;494.18;25/02/2019;19:39;Tarjeta de crédito;470.65;4.76;23.53;4.8
149-71-6266;B;Mandalay;Miembro;Masculino;Deportes y viajes;78.07;9;35.13;737.76;28/01/2019;12:43;Dinero en efectivo;702.63;4.76;35.13;4.5
640-49-2076;B;Mandalay;Normal;Masculino;Deportes y viajes;83.78;8;33.51;703.75;10/01/2019;14:49;Dinero en efectivo;670.24;4.76;33.51;5.1
595-11-5460;A;Yangon;Normal;Masculino;Salud y belleza;96.58;2;9.66;202.82;15/03/2019;10:12;Tarjeta de crédito;193.16;4.76;9.66;5.1
183-56-6882;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;99.42;4;19.88;417.56;06/02/2019;10:42;Billetera electrónica;397.68;4.76;19.88;7.5
232-16-2483;C;Naypyitaw;Miembro;Femenino;Deportes y viajes;68.12;1;3.41;71.53;07/01/2019;12:28;Billetera electrónica;68.12;4.77;3.41;6.8
129-29-8530;A;Yangon;Miembro;Masculino;Deportes y viajes;62.62;5;15.66;328.76;10/03/2019;19:15;Billetera electrónica;313.1;4.76;15.66;7.0
272-65-1806;A;Yangon;Normal;Femenino;Accesorios electrónicos;60.88;9;27.4;575.32;15/01/2019;17:17;Billetera electrónica;547.92;4.76;27.4;4.7
333-73-7901;C;Naypyitaw;Normal;Femenino;Salud y belleza;54.92;8;21.97;461.33;23/03/2019;13:24;Billetera electrónica;439.36;4.76;21.97;7.6
777-82-7220;B;Mandalay;Miembro;Masculino;Hogar y estilo de vida;30.12;8;12.05;253.01;03/03/2019;13:01;Dinero en efectivo;240.96;4.76;12.05;7.7
280-35-5823;B;Mandalay;Miembro;Femenino;Hogar y estilo de vida;86.72;1;4.34;91.06;17/01/2019;18:45;Billetera electrónica;86.72;4.77;4.34;7.9
554-53-8700;C;Naypyitaw;Miembro;Masculino;Hogar y estilo de vida;56.11;2;5.61;117.83;02/02/2019;10:11;Dinero en efectivo;112.22;4.76;5.61;6.3
354-25-5821;B;Mandalay;Miembro;Femenino;Deportes y viajes;69.12;6;20.74;435.46;08/02/2019;13:03;Dinero en efectivo;414.72;4.76;20.74;5.6
228-96-1411;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;98.7;8;39.48;829.08;04/03/2019;20:39;Dinero en efectivo;789.6;4.76;39.48;7.6
617-15-4209;C;Naypyitaw;Miembro;Masculino;Salud y belleza;15.37;2;1.54;32.28;16/03/2019;19:47;Dinero en efectivo;30.74;4.77;1.54;7.2
132-32-9879;B;Mandalay;Miembro;Femenino;Accesorios electrónicos;93.96;4;18.79;394.63;09/03/2019;18:00;Dinero en efectivo;375.84;4.76;18.79;9.5
370-41-7321;B;Mandalay;Miembro;Masculino;Salud y belleza;56.69;9;25.51;535.72;27/02/2019;17:24;Tarjeta de crédito;510.21;4.76;25.51;8.4
727-46-3608;B;Mandalay;Miembro;Femenino;Comida y bebidas;20.01;9;9.0;189.09;06/02/2019;15:47;Billetera electrónica;180.09;4.76;9.0;4.1
669-54-1719;B;Mandalay;Miembro;Masculino;Accesorios electrónicos;18.93;6;5.68;119.26;10/02/2019;12:45;Tarjeta de crédito;113.58;4.76;5.68;8.1
574-22-5561;C;Naypyitaw;Miembro;Femenino;Accesorios de moda;82.63;10;41.32;867.62;19/03/2019;17:08;Billetera electrónica;826.3;4.76;41.32;7.9
326-78-5178;C;Naypyitaw;Miembro;Masculino;Comida y bebidas;91.4;7;31.99;671.79;03/02/2019;10:19;Dinero en efectivo;639.8;4.76;31.99;9.5
162-48-8011;A;Yangon;Miembro;Femenino;Comida y bebidas;44.59;5;11.15;234.1;10/02/2019;15:10;Dinero en efectivo;222.95;4.76;11.15;8.5
616-24-2851;B;Mandalay;Miembro;Femenino;Accesorios de moda;17.87;4;3.57;75.05;22/03/2019;14:42;Billetera electrónica;71.48;4.76;3.57;6.5
778-71-5554;C;Naypyitaw;Miembro;Masculino;Accesorios de moda;15.43;1;0.77;16.2;25/01/2019;15:46;Tarjeta de crédito;15.43;4.75;0.77;6.1
242-55-6721;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;16.16;2;1.62;33.94;07/03/2019;11:49;Billetera electrónica;32.32;4.77;1.62;6.5
399-46-5918;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;85.98;8;34.39;722.23;28/02/2019;19:01;Dinero en efectivo;687.84;4.76;34.39;8.2
106-35-6779;A;Yangon;Miembro;Masculino;Hogar y estilo de vida;44.34;2;4.43;93.11;27/03/2019;11:26;Dinero en efectivo;88.68;4.76;4.43;5.8
635-40-6220;A;Yangon;Normal;Masculino;Salud y belleza;89.6;8;35.84;752.64;07/02/2019;11:28;Billetera electrónica;716.8;4.76;35.84;6.6
817-48-8732;A;Yangon;Miembro;Femenino;Hogar y estilo de vida;72.35;10;36.18;759.68;20/01/2019;15:55;Dinero en efectivo;723.5;4.76;36.18;5.4
120-06-4233;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;30.61;6;9.18;192.84;12/03/2019;20:36;Dinero en efectivo;183.66;4.76;9.18;9.3
285-68-5083;C;Naypyitaw;Miembro;Femenino;Deportes y viajes;24.74;3;3.71;77.93;15/02/2019;17:47;Tarjeta de crédito;74.22;4.76;3.71;10.0
803-83-5989;C;Naypyitaw;Normal;Masculino;Hogar y estilo de vida;55.73;6;16.72;351.1;24/02/2019;10:55;Billetera electrónica;334.38;4.76;16.72;7.0
347-34-2234;B;Mandalay;Miembro;Femenino;Deportes y viajes;55.07;9;24.78;520.41;03/02/2019;13:40;Billetera electrónica;495.63;4.76;24.78;10.0
199-75-8169;A;Yangon;Miembro;Masculino;Deportes y viajes;15.81;10;7.9;166.0;06/03/2019;12:27;Tarjeta de crédito;158.1;4.76;7.9;8.6
853-23-2453;B;Mandalay;Miembro;Masculino;Salud y belleza;75.74;4;15.15;318.11;14/02/2019;14:35;Dinero en efectivo;302.96;4.76;15.15;7.6
877-22-3308;A;Yangon;Miembro;Masculino;Salud y belleza;15.87;10;7.94;166.64;13/03/2019;16:40;Dinero en efectivo;158.7;4.76;7.94;5.8
838-78-4295;C;Naypyitaw;Normal;Femenino;Salud y belleza;33.47;2;3.35;70.29;10/02/2019;15:43;Billetera electrónica;66.94;4.77;3.35;6.7
109-28-2512;B;Mandalay;Miembro;Femenino;Accesorios de moda;97.61;6;29.28;614.94;07/01/2019;15:01;Billetera electrónica;585.66;4.76;29.28;9.9
232-11-3025;A;Yangon;Normal;Masculino;Deportes y viajes;78.77;10;39.38;827.08;24/01/2019;10:04;Dinero en efectivo;787.7;4.76;39.38;6.4
382-03-4532;A;Yangon;Miembro;Femenino;Salud y belleza;18.33;1;0.92;19.25;02/02/2019;18:50;Dinero en efectivo;18.33;4.78;0.92;4.3
393-65-2792;C;Naypyitaw;Normal;Masculino;Comida y bebidas;89.48;10;44.74;939.54;06/01/2019;12:46;Tarjeta de crédito;894.8;4.76;44.74;9.6
796-12-2025;C;Naypyitaw;Normal;Masculino;Accesorios de moda;62.12;10;31.06;652.26;11/02/2019;16:19;Dinero en efectivo;621.2;4.76;31.06;5.9
510-95-6347;B;Mandalay;Miembro;Femenino;Comida y bebidas;48.52;3;7.28;152.84;05/03/2019;18:17;Billetera electrónica;145.56;4.76;7.28;4.0
841-35-6630;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;75.91;6;22.77;478.23;09/03/2019;18:21;Dinero en efectivo;455.46;4.76;22.77;8.7
287-21-9091;A;Yangon;Normal;Masculino;Hogar y estilo de vida;74.67;9;33.6;705.63;22/01/2019;10:55;Billetera electrónica;672.03;4.76;33.6;9.4
732-94-0499;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;41.65;10;20.83;437.33;13/01/2019;17:04;Tarjeta de crédito;416.5;4.76;20.83;5.4
263-10-3913;C;Naypyitaw;Miembro;Masculino;Accesorios de moda;49.04;9;22.07;463.43;09/01/2019;14:20;Tarjeta de crédito;441.36;4.76;22.07;8.6
381-20-0914;A;Yangon;Miembro;Femenino;Accesorios de moda;20.01;9;9.0;189.09;12/01/2019;15:48;Tarjeta de crédito;180.09;4.76;9.0;5.7
829-49-1914;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;78.31;10;39.16;822.26;05/03/2019;16:24;Billetera electrónica;783.1;4.76;39.16;6.6
756-01-7507;C;Naypyitaw;Normal;Femenino;Salud y belleza;20.38;5;5.1;107.0;22/01/2019;18:56;Dinero en efectivo;101.9;4.77;5.1;6.0
870-72-4431;C;Naypyitaw;Normal;Femenino;Salud y belleza;99.19;6;29.76;624.9;21/01/2019;14:42;Tarjeta de crédito;595.14;4.76;29.76;5.5
847-38-7188;B;Mandalay;Normal;Femenino;Comida y bebidas;96.68;3;14.5;304.54;26/01/2019;19:56;Billetera electrónica;290.04;4.76;14.5;6.4
480-63-2856;C;Naypyitaw;Normal;Masculino;Comida y bebidas;19.25;8;7.7;161.7;23/01/2019;18:37;Billetera electrónica;154.0;4.76;7.7;6.6
787-56-0757;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;80.36;4;16.07;337.51;23/02/2019;18:45;Tarjeta de crédito;321.44;4.76;16.07;8.3
360-39-5055;C;Naypyitaw;Miembro;Masculino;Deportes y viajes;48.91;5;12.23;256.78;09/03/2019;10:17;Dinero en efectivo;244.55;4.76;12.23;6.6
730-50-9884;C;Naypyitaw;Normal;Femenino;Deportes y viajes;83.06;7;29.07;610.49;05/03/2019;14:31;Billetera electrónica;581.42;4.76;29.07;4.0
362-58-8315;C;Naypyitaw;Normal;Masculino;Accesorios de moda;76.52;5;19.13;401.73;25/03/2019;10:23;Dinero en efectivo;382.6;4.76;19.13;9.9
633-44-8566;A;Yangon;Miembro;Masculino;Comida y bebidas;49.38;7;17.28;362.94;27/03/2019;20:35;Tarjeta de crédito;345.66;4.76;17.28;7.3
504-35-8843;A;Yangon;Normal;Masculino;Deportes y viajes;42.47;1;2.12;44.59;02/01/2019;16:57;Dinero en efectivo;42.47;4.75;2.12;5.7
318-68-5053;B;Mandalay;Normal;Femenino;Salud y belleza;76.99;6;23.1;485.04;27/02/2019;17:55;Dinero en efectivo;461.94;4.76;23.1;6.1
565-80-5980;C;Naypyitaw;Miembro;Femenino;Hogar y estilo de vida;47.38;4;9.48;199.0;23/01/2019;10:25;Dinero en efectivo;189.52;4.76;9.48;7.1
225-32-0908;C;Naypyitaw;Normal;Femenino;Deportes y viajes;44.86;10;22.43;471.03;26/01/2019;19:54;Billetera electrónica;448.6;4.76;22.43;8.2
873-51-0671;A;Yangon;Miembro;Femenino;Deportes y viajes;21.98;7;7.69;161.55;10/01/2019;16:42;Billetera electrónica;153.86;4.76;7.69;5.1
152-08-9985;B;Mandalay;Miembro;Masculino;Salud y belleza;64.36;9;28.96;608.2;12/03/2019;12:09;Tarjeta de crédito;579.24;4.76;28.96;8.6
512-91-0811;C;Naypyitaw;Normal;Masculino;Salud y belleza;89.75;1;4.49;94.24;06/02/2019;20:05;Tarjeta de crédito;89.75;4.76;4.49;6.6
594-34-4444;A;Yangon;Normal;Masculino;Accesorios electrónicos;97.16;1;4.86;102.02;08/03/2019;20:38;Billetera electrónica;97.16;4.76;4.86;7.2
766-85-7061;B;Mandalay;Normal;Masculino;Salud y belleza;87.87;10;43.94;922.64;29/03/2019;10:25;Billetera electrónica;878.7;4.76;43.94;5.1
871-39-9221;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;12.45;6;3.73;78.43;09/02/2019;13:11;Dinero en efectivo;74.7;4.76;3.73;4.1
865-92-6136;A;Yangon;Normal;Masculino;Comida y bebidas;52.75;3;7.91;166.16;23/03/2019;10:16;Billetera electrónica;158.25;4.76;7.91;9.3
733-01-9107;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;82.7;6;24.81;521.01;05/03/2019;18:14;Dinero en efectivo;496.2;4.76;24.81;7.4
163-56-7055;C;Naypyitaw;Miembro;Masculino;Accesorios de moda;48.71;1;2.44;51.15;26/03/2019;19:20;Dinero en efectivo;48.71;4.77;2.44;4.1
189-98-2939;C;Naypyitaw;Normal;Masculino;Accesorios de moda;78.55;9;35.35;742.3;01/03/2019;13:22;Dinero en efectivo;706.95;4.76;35.35;7.2
551-21-3069;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;23.07;9;10.38;218.01;01/02/2019;11:27;Dinero en efectivo;207.63;4.76;10.38;4.9
212-62-1842;A;Yangon;Normal;Masculino;Comida y bebidas;58.26;6;17.48;367.04;28/03/2019;16:44;Dinero en efectivo;349.56;4.76;17.48;9.9
716-39-1409;B;Mandalay;Normal;Masculino;Salud y belleza;30.35;7;10.62;223.07;19/03/2019;18:19;Dinero en efectivo;212.45;4.76;10.62;8.0
704-48-3927;A;Yangon;Miembro;Masculino;Accesorios electrónicos;88.67;10;44.34;931.04;12/01/2019;14:50;Billetera electrónica;886.7;4.76;44.34;7.3
628-34-3388;C;Naypyitaw;Normal;Masculino;Accesorios de moda;27.38;6;8.21;172.49;05/01/2019;20:54;Tarjeta de crédito;164.28;4.76;8.21;7.9
630-74-5166;A;Yangon;Normal;Masculino;Deportes y viajes;62.13;6;18.64;391.42;22/03/2019;20:19;Dinero en efectivo;372.78;4.76;18.64;7.4
588-01-7461;C;Naypyitaw;Normal;Femenino;Comida y bebidas;33.98;9;15.29;321.11;24/03/2019;10:43;Dinero en efectivo;305.82;4.76;15.29;4.2
861-77-0145;C;Naypyitaw;Miembro;Masculino;Accesorios electrónicos;81.97;10;40.99;860.69;03/03/2019;14:30;Dinero en efectivo;819.7;4.76;40.99;9.2
479-26-8945;B;Mandalay;Miembro;Femenino;Deportes y viajes;16.49;2;1.65;34.63;05/02/2019;11:32;Billetera electrónica;32.98;4.76;1.65;4.6
210-67-5886;C;Naypyitaw;Miembro;Femenino;Salud y belleza;98.21;3;14.73;309.36;05/02/2019;10:41;Tarjeta de crédito;294.63;4.76;14.73;7.8
227-78-1148;B;Mandalay;Normal;Femenino;Accesorios de moda;72.84;7;25.49;535.37;15/02/2019;12:44;Dinero en efectivo;509.88;4.76;25.49;8.4
645-44-1170;A;Yangon;Miembro;Masculino;Hogar y estilo de vida;58.07;9;26.13;548.76;19/01/2019;20:07;Billetera electrónica;522.63;4.76;26.13;4.3
237-01-6122;C;Naypyitaw;Miembro;Femenino;Hogar y estilo de vida;80.79;9;36.36;763.47;01/02/2019;20:31;Tarjeta de crédito;727.11;4.76;36.36;9.5
225-98-1496;C;Naypyitaw;Normal;Femenino;Accesorios de moda;27.02;3;4.05;85.11;02/03/2019;13:01;Tarjeta de crédito;81.06;4.76;4.05;7.1
291-32-1427;B;Mandalay;Miembro;Masculino;Accesorios de moda;21.94;5;5.48;115.18;05/03/2019;12:29;Billetera electrónica;109.7;4.76;5.48;5.3
659-65-8956;B;Mandalay;Miembro;Masculino;Accesorios de moda;51.36;1;2.57;53.93;16/01/2019;15:26;Billetera electrónica;51.36;4.77;2.57;5.2
642-32-2990;A;Yangon;Normal;Femenino;Comida y bebidas;10.96;10;5.48;115.08;02/02/2019;20:48;Billetera electrónica;109.6;4.76;5.48;6.0
378-24-2715;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;53.44;2;5.34;112.22;20/01/2019;20:38;Billetera electrónica;106.88;4.76;5.34;4.1
638-60-7125;A;Yangon;Normal;Femenino;Accesorios electrónicos;99.56;8;39.82;836.3;14/02/2019;17:03;Tarjeta de crédito;796.48;4.76;39.82;5.2
659-36-1684;C;Naypyitaw;Miembro;Masculino;Deportes y viajes;57.12;7;19.99;419.83;12/01/2019;12:02;Tarjeta de crédito;399.84;4.76;19.99;6.5
219-22-9386;B;Mandalay;Miembro;Masculino;Deportes y viajes;99.96;9;44.98;944.62;09/03/2019;17:26;Tarjeta de crédito;899.64;4.76;44.98;4.2
336-78-2147;C;Naypyitaw;Miembro;Masculino;Hogar y estilo de vida;63.91;8;25.56;536.84;13/03/2019;19:52;Tarjeta de crédito;511.28;4.76;25.56;4.6
268-27-6179;B;Mandalay;Miembro;Femenino;Accesorios de moda;56.47;8;22.59;474.35;09/03/2019;14:57;Billetera electrónica;451.76;4.76;22.59;7.3
668-90-8900;A;Yangon;Normal;Femenino;Hogar y estilo de vida;93.69;7;32.79;688.62;10/03/2019;18:44;Tarjeta de crédito;655.83;4.76;32.79;4.5
870-54-3162;A;Yangon;Normal;Femenino;Deportes y viajes;32.25;5;8.06;169.31;27/01/2019;13:26;Dinero en efectivo;161.25;4.76;8.06;9.0
189-08-9157;C;Naypyitaw;Normal;Femenino;Accesorios de moda;31.73;9;14.28;299.85;08/01/2019;16:17;Tarjeta de crédito;285.57;4.76;14.28;5.9
663-86-9076;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;68.54;8;27.42;575.74;08/01/2019;15:57;Billetera electrónica;548.32;4.76;27.42;8.5
549-84-7482;B;Mandalay;Normal;Femenino;Deportes y viajes;90.28;9;40.63;853.15;08/02/2019;11:15;Billetera electrónica;812.52;4.76;40.63;7.2
191-10-6171;B;Mandalay;Normal;Femenino;Accesorios de moda;39.62;7;13.87;291.21;25/01/2019;13:18;Dinero en efectivo;277.34;4.76;13.87;7.5
802-70-5316;A;Yangon;Miembro;Femenino;Deportes y viajes;92.13;6;27.64;580.42;06/03/2019;20:34;Dinero en efectivo;552.78;4.76;27.64;8.3
695-51-0018;B;Mandalay;Normal;Femenino;Deportes y viajes;34.84;4;6.97;146.33;10/02/2019;18:36;Dinero en efectivo;139.36;4.76;6.97;7.4
590-83-4591;B;Mandalay;Miembro;Masculino;Accesorios electrónicos;87.45;6;26.24;550.94;17/02/2019;14:40;Tarjeta de crédito;524.7;4.76;26.24;8.8
483-71-1164;C;Naypyitaw;Normal;Femenino;Salud y belleza;81.3;6;24.39;512.19;08/03/2019;16:43;Billetera electrónica;487.8;4.76;24.39;5.3
597-78-7908;C;Naypyitaw;Normal;Masculino;Accesorios de moda;90.22;3;13.53;284.19;18/02/2019;19:39;Dinero en efectivo;270.66;4.76;13.53;6.2
700-81-1757;A;Yangon;Normal;Femenino;Accesorios electrónicos;26.31;5;6.58;138.13;18/01/2019;20:59;Tarjeta de crédito;131.55;4.76;6.58;8.8
354-39-5160;A;Yangon;Miembro;Femenino;Hogar y estilo de vida;34.42;6;10.33;216.85;18/02/2019;15:39;Dinero en efectivo;206.52;4.76;10.33;9.8
241-72-9525;B;Mandalay;Normal;Masculino;Deportes y viajes;51.91;10;25.96;545.06;16/02/2019;12:21;Dinero en efectivo;519.1;4.76;25.96;8.2
575-30-8091;A;Yangon;Normal;Masculino;Deportes y viajes;72.5;8;29.0;609.0;16/03/2019;19:25;Billetera electrónica;580.0;4.76;29.0;9.2
731-81-9469;C;Naypyitaw;Miembro;Femenino;Deportes y viajes;89.8;10;44.9;942.9;23/01/2019;13:00;Tarjeta de crédito;898.0;4.76;44.9;5.4
280-17-4359;C;Naypyitaw;Miembro;Masculino;Salud y belleza;90.5;10;45.25;950.25;25/01/2019;13:48;Dinero en efectivo;905.0;4.76;45.25;8.1
338-65-2210;C;Naypyitaw;Miembro;Femenino;Salud y belleza;68.6;10;34.3;720.3;05/02/2019;19:57;Dinero en efectivo;686.0;4.76;34.3;9.1
488-25-4221;C;Naypyitaw;Miembro;Femenino;Comida y bebidas;30.41;1;1.52;31.93;22/02/2019;10:36;Tarjeta de crédito;30.41;4.76;1.52;8.4
239-10-7476;A;Yangon;Normal;Femenino;Hogar y estilo de vida;77.95;6;23.39;491.09;21/01/2019;16:37;Billetera electrónica;467.7;4.76;23.39;8.0
458-41-1477;C;Naypyitaw;Normal;Femenino;Salud y belleza;46.26;6;13.88;291.44;08/03/2019;17:11;Tarjeta de crédito;277.56;4.76;13.88;9.5
685-64-1609;A;Yangon;Miembro;Femenino;Accesorios de moda;30.14;10;15.07;316.47;10/02/2019;12:28;Billetera electrónica;301.4;4.76;15.07;9.2
568-90-5112;C;Naypyitaw;Normal;Masculino;Salud y belleza;66.14;4;13.23;277.79;19/03/2019;12:46;Tarjeta de crédito;264.56;4.76;13.23;5.6
262-47-2794;B;Mandalay;Miembro;Masculino;Hogar y estilo de vida;71.86;8;28.74;603.62;06/03/2019;15:07;Tarjeta de crédito;574.88;4.76;28.74;6.2
238-49-0436;A;Yangon;Normal;Masculino;Salud y belleza;32.46;8;12.98;272.66;27/03/2019;13:48;Tarjeta de crédito;259.68;4.76;12.98;4.9
608-96-3517;B;Mandalay;Miembro;Femenino;Accesorios de moda;91.54;4;18.31;384.47;23/03/2019;19:20;Tarjeta de crédito;366.16;4.76;18.31;4.8
584-86-7256;C;Naypyitaw;Miembro;Masculino;Deportes y viajes;34.56;7;12.1;254.02;11/03/2019;16:07;Tarjeta de crédito;241.92;4.76;12.1;7.3
746-94-0204;A;Yangon;Normal;Masculino;Accesorios de moda;83.24;9;37.46;786.62;29/01/2019;11:56;Tarjeta de crédito;749.16;4.76;37.46;7.4
214-17-6927;C;Naypyitaw;Normal;Femenino;Comida y bebidas;16.48;6;4.94;103.82;07/02/2019;18:23;Billetera electrónica;98.88;4.76;4.94;9.9
400-89-4171;C;Naypyitaw;Normal;Femenino;Deportes y viajes;80.97;8;32.39;680.15;28/01/2019;13:05;Dinero en efectivo;647.76;4.76;32.39;9.3
782-95-9291;A;Yangon;Miembro;Masculino;Comida y bebidas;92.29;5;23.07;484.52;20/02/2019;15:55;Tarjeta de crédito;461.45;4.76;23.07;9.0
279-74-2924;B;Mandalay;Miembro;Masculino;Accesorios electrónicos;72.17;1;3.61;75.78;04/01/2019;19:40;Dinero en efectivo;72.17;4.76;3.61;6.1
307-85-2293;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;50.28;5;12.57;263.97;07/03/2019;13:58;Billetera electrónica;251.4;4.76;12.57;9.7
743-04-1105;B;Mandalay;Miembro;Masculino;Salud y belleza;97.22;9;43.75;918.73;30/03/2019;14:43;Billetera electrónica;874.98;4.76;43.75;6.0
423-57-2993;B;Mandalay;Normal;Masculino;Deportes y viajes;93.39;6;28.02;588.36;27/03/2019;19:18;Billetera electrónica;560.34;4.76;28.02;10.0
894-41-5205;C;Naypyitaw;Normal;Femenino;Comida y bebidas;43.18;8;17.27;362.71;19/01/2019;19:39;Tarjeta de crédito;345.44;4.76;17.27;8.3
